Event	ID	Name			Wwise Object Path	Notes
	223230356	NemforcerMinigunSpinUp			\Default Work Unit\nemforcer\NemforcerMinigunSpinUp	
	252613388	NemforcerAxeSwing			\Default Work Unit\nemforcer\NemforcerAxeSwing	
	547001894	play_dedede_hammer_attack_l			\Default Work Unit\nemforcer\play_dedede_hammer_attack_l	
	547001895	play_dedede_hammer_attack_m			\Default Work Unit\nemforcer\play_dedede_hammer_attack_m	
	676420139	Play_Minigun_Shoot2			\Default Work Unit\nemforcer\Play_Minigun_Shoot2	
	1396415473	DededeGordoThrow			\Default Work Unit\nemforcer\DededeGordoThrow	
	2454711181	SuperDededeJumpStart			\Default Work Unit\nemforcer\SuperDededeJumpStart	
	3555953518	Play_se_dedede_hammer_swing_m			\Default Work Unit\nemforcer\Play_se_dedede_hammer_swing_m	
	3901697920	DededeJump			\Default Work Unit\nemforcer\DededeJump	
	4078425363	NemforcerMinigunSpinDown			\Default Work Unit\nemforcer\NemforcerMinigunSpinDown	
	4082970534	SuperDededeJumpEnd			\Default Work Unit\nemforcer\SuperDededeJumpEnd	
	4242037945	NemforcerAxeHit			\Default Work Unit\nemforcer\NemforcerAxeHit	

Game Parameter	ID	Name			Wwise Object Path	Notes
	2221076878	Minigun_Speed			\Default Work Unit\Minigun_Speed	
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	51468599	se_dedede_hammer_attack_s	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\PaladinMod\PaladinWwiseProject\.cache\Windows\SFX\se_dedede_hammer_attack_s_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master\SFX\nemforcer\se_dedede_hammer_attack_s		3811
	93215376	NemforcerAxeSwing3	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\PaladinMod\PaladinWwiseProject\.cache\Windows\SFX\NemforcerAxeSwing3_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master\SFX\nemforcer\swing\NemforcerAxeSwing3		7253
	112176353	se_dedede_hammer_swing_m	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\PaladinMod\PaladinWwiseProject\.cache\Windows\SFX\se_dedede_hammer_swing_m_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master\SFX\nemforcer\dededeswing\se_dedede_hammer_swing_m		5559
	160355544	NemforcerAxeHit2	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\PaladinMod\PaladinWwiseProject\.cache\Windows\SFX\NemforcerAxeHit2_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master\SFX\nemforcer\hit\NemforcerAxeHit2		5669
	238140023	se_dedede_hammer_attack_l	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\PaladinMod\PaladinWwiseProject\.cache\Windows\SFX\se_dedede_hammer_attack_l_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master\SFX\nemforcer\dededehit\se_dedede_hammer_attack_l		7035
	239566699	se_dedede_gordo_throw	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\PaladinMod\PaladinWwiseProject\.cache\Windows\SFX\se_dedede_gordo_throw_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master\SFX\nemforcer\se_dedede_gordo_throw		3090
	318027046	Play_Minigun_Shoot	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\PaladinMod\PaladinWwiseProject\.cache\Windows\SFX\Play_Minigun_Shoot_56CEF360.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master\SFX\nemforcer\Play_Minigun_Shoot		25530
	329983460	se_dedede_hammer_swing_l	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\PaladinMod\PaladinWwiseProject\.cache\Windows\SFX\se_dedede_hammer_swing_l_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master\SFX\nemforcer\dededeswing\se_dedede_hammer_swing_l		5424
	384598124	se_dedede_hammer_attack_ll	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\PaladinMod\PaladinWwiseProject\.cache\Windows\SFX\se_dedede_hammer_attack_ll_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master\SFX\nemforcer\dededehit\se_dedede_hammer_attack_ll		7958
	393158346	NemforcerMinigunSpinUp	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\PaladinMod\PaladinWwiseProject\.cache\Windows\SFX\NemforcerMinigunSpinUp_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master\SFX\nemforcer\NemforcerMinigunSpinUp		12546
	414882283	NemforcerAxeSwing4	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\PaladinMod\PaladinWwiseProject\.cache\Windows\SFX\NemforcerAxeSwing4_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master\SFX\nemforcer\swing\NemforcerAxeSwing4		7111
