{
    strings:
    {
    "PALADIN_NAME" : "圣骑士",
    "PALADIN_DESCRIPTION" : "圣骑士是一位装备重甲的魔法剑士，可以使用超凡的魔法帮助盟友，或用毁灭的剑术击败敌人。<color=#CCD3E0>\n\n< ! > 你的被动技能可以造成大量伤害，尽量保持被动技能生效。\n\n< ! > 横扫之刃可以同时攻击多个敌人，而可以进行有限的位移。\n\n< ! > 每击中一次敌人都可以减少疾行身法的冷却，可以让你不断使用。\n\n< ! > 使用祝福之光来保持你的被动技能，增加你的伤害。\n\n",
    "PALADIN_SUBTITLE" : "上帝之手",
    "PALADIN_LORE" : "\"你将登上Petrichor V号。 这个星球是你朝圣的目的地，这是对你子民所犯的罪的惩罚<s>，王</s>。\"\n\n我脱下盔甲和剑，凝视前方。我的王冠破碎了。我的黑曜石盔甲，被损坏撕裂。一颗小小的，闪耀星光的宝石嵌在我的右手掌心，这是我过去做为国王的遗物。他们把我绑起来，把我推上一艘船，最后，我为了兄弟姐妹们的利益而牺牲。\r\n\r\n我这么做是为了拯救我的人民，即使他们不接受这样的做法。我不会沉湎于他们无休止的战争和痛苦中。我试着改变他们，让他们变得更好，但我惨痛地认识到，”传统“是一个人无法改变的。\n\n就这样吧。关于我的记忆会留在那些试图为我辩护的人的脑海里。也许我的行为会有意义，也许它们不会有任何结果。我不在乎我自己的命运，我只希望我的人民能从过去中吸取教训，继续前进。\n\n为了我的人民，为了我们的历史，为了长久的利益……\n\n我要飞向那星球…到那个流言纷纭的星球。",
    "PALADIN_OUTRO_FLAVOR" : "..于是他离开了，他的信仰动摇了。",
    "PALADIN_OUTRO_FAILURE" : "..于是他消失了，他的祈祷无人回应。",
    "PALADINBODY_DEFAULT_SKIN_NAME" : "默认",
    "PALADINBODY_LUNAR_SKIN_NAME" : "月球",
    "PALADINBODY_LUNARKNIGHT_SKIN_NAME" : "月骑",
    "PALADINBODY_TYPHOON_SKIN_NAME" : "君王",
    "PALADINBODY_TYPHOONLEGACY_SKIN_NAME" : "君王 (遗迹)",
    "PALADINBODY_POISON_SKIN_NAME" : "腐化",
    "PALADINBODY_POISONLEGACY_SKIN_NAME" : "腐化 (遗迹)",
    "PALADINBODY_CLAY_SKIN_NAME" : "深渊",
    "PALADINBODY_SPECTER_SKIN_NAME" : "幽灵",
    "PALADINBODY_DRIP_SKIN_NAME" : "堕落",
    "PALADINBODY_MINECRAFT_SKIN_NAME" : "我的世界",
    "PALADIN_PASSIVE_NAME" : "坚定信仰",
    "PALADIN_PASSIVE_DESCRIPTION" : "当生命值超过<style=cIsHealth> 90% </style> 或拥有 <style=cIsHealth> 护盾 </style>时，圣骑士将被<style=cIsHealing>祝福</style>，获得所有剑技并<style=cIsHealing>祝福</style>周围盟友。",
    "PALADIN_PRIMARY_SLASH_NAME" : "神圣之剑",
    "PALADIN_PRIMARY_SLASH_DESCRIPTION" : "挥剑造成<style=cIsDamage> 320% 伤害</style>。当被<style=cIsHealing>祝福</style>时，可以发射<style=cIsUtility>剑光</style>造成<style=cIsDamage> 300% 伤害</style>。",
    "PALADIN_PRIMARY_CURSESLASH_NAME" : "诅咒之剑",
    "PALADIN_PRIMARY_CURSESLASH_DESCRIPTION" : "挥剑造成<style=cIsDamage> 380% 伤害</style>。当被<style=cIsHealing>祝福</style>时，可以发射<style=cIsUtility>剑光</style>造成<style=cIsDamage> 300% 伤害</style>。",
    "PALADIN_SECONDARY_SPINSLASH_NAME" : "横扫之刃",
    "PALADIN_SECONDARY_SPINSLASH_DESCRIPTION" : "进行一次<style=cIsUtility>范围斩击</style>造成<style=cIsDamage> 1000% 伤害</style>，若被<style=cIsHealing>祝福</style>则增加范围。在被<style=cIsHealing>祝福</style>时，处于空中可进行跳跃打击，造成<style=cIsUtility>冲击波</style>。",
    "PALADIN_SECONDARY_LIGHTNING_NAME" : "雷霆长枪",
    "PALADIN_SECONDARY_LIGHTNING_DESCRIPTION" : "<style=cIsUtility>震荡</style>。<style=cIsUtility>灵活</style>。前冲并扔出一发<style=cIsUtility>雷霆</style>，造成<style=cIsDamage> 700% 伤害</style>。<style=cIsDamage>扔在脚下</style>可以给你的剑刃附魔<style=cIsDamage>雷电</style>持续<style=cIsUtility> 4 秒</style>。",
    "PALADIN_SECONDARY_LUNARSHARD_NAME" : "月之碎片",
    "PALADIN_SECONDARY_LUNARSHARD_DESCRIPTION" : "<style=cIsUtility>灵活</style>。 连续发射<style=cIsUtility>月之碎片</style>，每个造成<style=cIsDamage> 75% 伤害</style>。最多持有<style=cIsDamage> 12 </style> 个碎片。",
    "PALADIN_UTILITY_DASH_NAME" : "疾行",
    "PALADIN_UTILITY_DASH_DESCRIPTION" : "<style=cIsUtility>前冲</style>一段距离并获得<style=cIsHealing> 15% 护盾</style>。<style=cIsDamage>神圣之剑</style>命中敌人时 <style=cIsUtility>减少</style><style=cIsDamage>1 秒</style>冷却。<style=cIsUtility>最多持有 2 次<style=cIsHealing>。",
    "PALADIN_UTILITY_HEAL_NAME" : "蓄势",
    "PALADIN_UTILITY_HEAL_DESCRIPTION" : "恢复<style=cIsHealing> 15% 最大生命值</style>并给予周围盟友<style=cIsHealing> 15% 护盾</style>。",
    "PALADIN_SPECIAL_HEALZONE_NAME" : "祝福之光",
    "PALADIN_SPECIAL_HEALZONE_DESCRIPTION" : "<style=cIsUtility>引导</style><style=cIsDamage> 1.5 </style> 秒，然后<style=cIsUtility>祝福</style>一片区域<style=cIsDamage> 12 秒</style>，处于该区域内将逐渐<style=cIsHealing>恢复生命</style>，盟友将获得<style=cIsHealing>护盾</style>。",
    "PALADIN_SPECIAL_SCEPTERHEALZONE_NAME" : "神圣之光",
    "PALADIN_SPECIAL_SCEPTERHEALZONE_DESCRIPTION" : "<style=cIsUtility>引导</style><style=cIsDamage> 1.5 </style>秒，然后<style=cIsUtility>祝福</style>一片区域<style=cIsDamage> 12 秒</style>，处于该区域内将逐渐<style=cIsHealing>恢复生命</style>，盟友将获得<style=cIsHealing>护盾</style>。\n<color=#d299ff>王权：双倍恢复，双倍护盾，消除减益。</color>",
    "PALADIN_SPECIAL_TORPOR_NAME" : "沉默誓言",
    "PALADIN_SPECIAL_TORPOR_DESCRIPTION" : "<style=cIsUtility>引导</style><style=cIsDamage> 2 </style> 秒，然后<style=cIsUtility>沉默</style>一片区域<style=cIsDamage> 10 秒</style>，对区域内敌人施加<style=cIsHealth>迟缓</style>。",
    "PALADIN_SPECIAL_SCEPTERTORPOR_NAME" : "沉默诅咒",
    "PALADIN_SPECIAL_SCEPTERTORPOR_DESCRIPTION" : "<style=cIsUtility>引导</style><style=cIsDamage> 2 </style>秒，然后<style=cIsUtility>沉默</style>一片区域<style=cIsDamage> 10 秒</style>，对区域内敌人施加<style=cIsHealth>迟缓</style>。\n<color=#d299ff>王权：减益增强，范围增大，阻挡弹射物。</color>",
    "PALADIN_SPECIAL_WARCRY_NAME" : "祝福誓言",
    "PALADIN_SPECIAL_WARCRY_DESCRIPTION" : "<style=cIsUtility>引导</style><style=cIsDamage> 2 </style>秒，然后<style=cIsUtility>祝福</style>一片区域<style=cIsDamage> 8 秒</style>，增加区域内所有盟友的<style=cIsDamage>伤害</style>和<style=cIsDamage>攻击速度</style>。",
    "PALADIN_SPECIAL_SCEPTERWARCRY_NAME" : "祝福誓言(王权)",
    "PALADIN_SPECIAL_SCEPTERWARCRY_DESCRIPTION" : "<style=cIsUtility>引导</style><style=cIsDamage> 2 </style>秒，然后<style=cIsUtility>祝福</style>一片区域<style=cIsDamage> 8 秒</style>，增加区域内所有盟友的<style=cIsDamage>伤害</style>和<style=cIsDamage>攻击速度</style>。\n<color=#d299ff>王权：加快引导速度，双倍增伤，双倍攻击速度。</color>",
    "PALADIN_SPECIAL_SUN_NAME" : "残暴的太阳",
    "PALADIN_SPECIAL_SUN_DESCRIPTION" : "<style=cIsHealth>过热</style>。<style=cIsUtility>引导</style><style=cIsDamage> 2 </style>秒，创造一个<style=cIsUtility>微型太阳</style><style=cIsDamage> 12.5 </style>秒，过热周围的<style=cDeath>所有单位</style>。 过热叠加<style=cIsHealth> 2 </style>层以上时，使目标燃烧造成<style=cIsDamage> 160% 伤害</style>。",
    "PALADIN_SPECIAL_SUN_CANCEL_NAME" : "取消残暴的太阳",
    "PALADIN_SPECIAL_SUN_CANCEL_DESCRIPTION" : "停止引导当前的残暴的太阳。",
    "PALADIN_SPECIAL_SCEPSUN_NAME" : "闪耀的骄傲",
    "PALADIN_SPECIAL_SCEPSUN_DESCRIPTION" : "<style=cIsHealth>过热</style>。<style=cIsUtility>引导</style><style=cIsDamage> 2 </style>秒，创造一个<style=cIsUtility>微型太阳</style><style=cIsDamage> 12.5 </style>秒，过热周围的 <style=cDeath>一切单位</style>。 过热叠加<style=cIsHealth> 2 </style>层以上时，使目标燃烧造成<style=cIsDamage> 160% 伤害</style>。\n<color=#d299ff>王权：再次引导可按住瞄准，释放可扔出太阳，爆炸对范围内<style=cDeath>所有单位</style>造成<style=cIsDamage> 4000% 伤害</style>。</color>",
    "PALADIN_SPECIAL_SUN_LEGACY_NAME" : "残暴的太阳(遗迹)",
    "PALADIN_SPECIAL_SUN_LEGACY_DESCRIPTION" : "<style=cIsUtility>引导</style><style=cIsDamage> 5 </style>秒，创造一个<style=cIsUtility>微型太阳</style>，<style=cIsDamage>吸取</style>周围<style=cIsHealth>所有单位</style>的生命值。",
    "PALADIN_SPECIAL_SCEPSUN_LEGACY_NAME" : "闪耀的骄傲(遗迹)",
    "PALADIN_SPECIAL_SCEPSUN_LEGACY_DESCRIPTION" : "<style=cIsUtility>引导</style><style=cIsDamage> 5 </style>秒，创造一个<style=cIsUtility>微型太阳</style>，<style=cIsDamage>吸取</style>周围<style=cIsHealth>所有单位</style>的生命值。\n<color=#d299ff>王权：产生剧烈爆炸造成 9001% 伤害。</color>",
    "PALADIN_SPECIAL_BERSERK_NAME" : "狂战",
    "PALADIN_SPECIAL_BERSERK_DESCRIPTION" : "当处于<style=cIsHealth> 25% 生命值</style>以下时，获得<style=cIsDamage>狂怒</style>。当<style=cIsDamage>狂怒</style>达到最大时进入<color=#dc0000>狂战状态</color>，获得一个<style=cIsHealing>强力增益</style>和一些<style=cIsUtility>新技能</style>。",
    "KEYWORD_SWORDBEAM" : "<style=cKeywordName>剑光</style><style=cSub>一个短距离穿透光束，造成<style=cIsDamage> 300% 伤害</style>。",
    "KEYWORD_TORPOR" : "<style=cKeywordName>迟缓</style><style=cIsDamage>减少敌人<style=cIsHealth> 60% </style>攻击和移动速度。<style=cIsHealth>压制敌人。</style>",
    "KEYWORD_OVERHEAT" : "<style=cKeywordName>过热</style><style=cSub>增加受到的<style=cIsDamage>太阳</style>的灼烧伤害。</style>",
    "PALADIN_UNLOCKABLE_ACHIEVEMENT_NAME" : "圣骑士的誓言",
    "PALADIN_UNLOCKABLE_ACHIEVEMENT_DESC" : "使用忠诚之珠，再一次变得完整。",
    "PALADIN_UNLOCKABLE_UNLOCKABLE_NAME" : "圣骑士的誓言",
    "PALADIN_MASTERYUNLOCKABLE_ACHIEVEMENT_NAME" : "圣骑士：精通",
